puzzle_id,n,t,d,markov_entropy,pattern_score
1,3,1,3,0.9182958340544896,0.5408520829727552
2,2,3,3,0.9182958340544896,0.5408520829727552
3,1,1,3,0.9182958340544896,0.5408520829727552
4,3,3,2,1.0,0.36907024642854247
5,2,3,3,0.9182958340544896,0.5408520829727552
6,1,3,1,0.0,1.0
7,1,3,1,0.0,1.0
8,3,2,1,0.0,1.0
9,2,3,1,0.0,1.0
10,2,3,3,1.584962500721156,0.20751874963942196
