puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
100,8,6,13,0.3912435636292556,0.8972400599264814,16,"(0.85, 0.9]"
101,4,6,17,3.169248695695233,0.2399746531174925,4,"(0.2, 0.25]"
102,9,5,12,2.188721875540867,0.4085238397991343,7,"(0.4, 0.45]"
103,4,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
104,7,2,8,0.5435644431995964,0.8285245099009361,15,"(0.8, 0.85]"
106,6,4,7,2.235926350629033,0.2546912164569891,4,"(0.25, 0.3]"
107,2,3,9,0.5032583347756457,0.848504145664625,16,"(0.8, 0.85]"
108,2,3,9,2.725480556997868,0.1795485997446667,2,"(0.15, 0.2]"
109,5,5,15,2.6062389286533896,0.3484402678366526,6,"(0.3, 0.35]"
112,6,3,7,2.235926350629033,0.2546912164569891,4,"(0.25, 0.3]"
113,8,2,2,1.0,0.3690702464285424,6,"(0.35, 0.4]"
114,6,6,13,1.145110414381583,0.6992372820964292,13,"(0.65, 0.7]"
115,2,6,12,2.8553885422075336,0.2283650701809211,3,"(0.2, 0.25]"
116,4,5,12,3.084962500721156,0.1663254273276259,2,"(0.15, 0.2]"
117,6,1,3,0.9182958340544896,0.5408520829727552,10,"(0.5, 0.55]"
118,5,4,7,2.1280852788913944,0.2906382403695352,5,"(0.25, 0.3]"
119,4,6,13,2.199687794731328,0.4222530234868271,7,"(0.4, 0.45]"
121,10,4,9,2.281036112553424,0.3133397089286582,5,"(0.3, 0.35]"
122,2,4,6,1.7924812503605778,0.3615052958651881,6,"(0.35, 0.4]"
123,6,5,17,0.6402064333604701,0.8464705161030396,15,"(0.8, 0.85]"
124,8,7,20,2.9841837197791885,0.3205901503604739,5,"(0.3, 0.35]"
125,4,3,8,1.9056390622295665,0.3988378080356781,7,"(0.35, 0.4]"
126,8,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
127,9,4,9,0.5032583347756457,0.848504145664625,16,"(0.8, 0.85]"
129,4,5,10,2.8464393446710154,0.1771945052082704,2,"(0.15, 0.2]"
131,5,5,11,0.4394969869215134,0.877405415863317,16,"(0.85, 0.9]"
132,8,1,2,1.0,0.3690702464285424,6,"(0.35, 0.4]"
133,3,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
134,5,4,12,2.6258145836939115,0.2904047130342164,5,"(0.25, 0.3]"
135,10,6,17,1.983084164143437,0.5244316951845611,9,"(0.5, 0.55]"
137,5,3,8,0.5435644431995964,0.8285245099009361,15,"(0.8, 0.85]"
138,5,6,13,3.180832987205441,0.1645556948795234,2,"(0.15, 0.2]"
139,5,2,2,1.0,0.3690702464285424,6,"(0.35, 0.4]"
140,4,5,14,2.495602923729013,0.3612304049327212,6,"(0.35, 0.4]"
141,8,3,7,0.5916727785823275,0.8027757404725575,15,"(0.8, 0.85]"
142,5,5,14,2.217021885879718,0.4325354571300952,7,"(0.4, 0.45]"
144,7,5,13,3.0269868333592878,0.2049633156544763,3,"(0.2, 0.25]"
146,6,3,3,1.584962500721156,0.2075187496394219,3,"(0.2, 0.25]"
