puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
764,9,3,8,2.75,0.1324715888392459,2,
747,5,5,14,2.263809173883546,0.4205598753064274,7,
122,2,6,13,3.7004397181410926,0.0280812285970785,,"(0.0, 0.05]"
315,4,7,16,2.4772170014624826,0.3939475176477173,7,
646,6,3,8,0.5435644431995964,0.8285245099009361,15,
507,5,5,14,1.610577243331642,0.5877598299931953,10,
399,5,3,5,0.7219280948873623,0.7207200898713393,13,
699,6,6,15,0.3533593350214213,0.9116601662446446,17,
878,4,3,7,2.235926350629033,0.2546912164569891,4,
776,6,1,3,0.9182958340544896,0.5408520829727552,10,
128,6,6,18,3.614369445886756,0.1491452162382203,2,
258,4,2,2,1.0,0.3690702464285424,6,
0,7,2,8,0.5435644431995964,0.8285245099009361,15,
368,5,6,18,3.1916116417513782,0.2486661715269957,4,
752,8,5,12,1.207518749639422,0.6736823616610579,12,
356,5,2,3,0.9182958340544896,0.5408520829727552,10,
145,4,1,2,1.0,0.3690702464285424,6,
864,8,5,14,1.4345491399952024,0.6328156356342085,11,
866,4,2,3,0.9182958340544896,0.5408520829727552,10,
291,2,2,6,0.6500224216483541,0.768457341627495,14,
275,3,3,4,2.0,0.1386468838532139,2,
708,6,4,9,1.8799649487271108,0.4340741596362412,7,
929,2,4,12,2.5220552088742005,0.3184444549900276,5,
44,4,7,16,3.202819531114783,0.2164284654059257,3,
744,4,2,5,1.9219280948873625,0.2564967211898894,4,
739,6,1,4,0.8112781244591328,0.6506015297177028,12,
892,2,6,15,1.0389205950315936,0.7402698512421015,13,
69,7,6,11,3.2776134368191165,0.0857328532279522,1,
103,4,6,14,3.039148671903071,0.2221055088363159,3,
80,5,3,5,2.321928094887362,0.1017555982960728,1,
47,6,3,4,1.5,0.3539851628899103,6,
363,5,2,8,0.5435644431995964,0.8285245099009361,15,
345,5,4,10,1.8954618442383215,0.452088651203066,8,
366,4,4,7,2.5216406363433186,0.1594531212188937,2,
201,5,3,9,0.5032583347756457,0.848504145664625,16,
106,5,1,4,0.8112781244591328,0.6506015297177028,12,
381,6,4,10,2.246439344671016,0.3506334009990031,6,
165,3,7,20,3.821928094887362,0.1298606801351225,1,
164,10,4,9,0.9864267287308424,0.7030559661273194,13,
545,7,1,2,1.0,0.3690702464285424,6,
902,7,5,11,0.4394969869215134,0.877405415863317,16,
192,4,6,13,3.7004397181410926,0.0280812285970785,,"(0.0, 0.05]"
167,6,4,12,2.688721875540867,0.2734047625854744,4,
303,7,4,9,0.5032583347756457,0.848504145664625,16,
933,4,3,5,0.7219280948873623,0.7207200898713393,13,
742,1,2,4,2.0,0.1386468838532139,2,
976,3,7,18,3.5724312513221195,0.1590178410492401,2,
696,1,2,5,1.9219280948873625,0.2564967211898894,4,
91,5,7,14,1.7273966735744792,0.5578589593688308,10,
948,4,5,13,2.7773627950641693,0.2705269532467956,4,
955,5,2,8,1.5487949406953985,0.5114095948671661,9,
446,5,1,4,0.8112781244591328,0.6506015297177028,12,
100,7,5,10,0.4689955935892812,0.8644298701952597,16,
448,6,5,12,1.207518749639422,0.6736823616610579,12,
264,9,1,4,0.8112781244591328,0.6506015297177028,12,
749,7,3,7,0.5916727785823275,0.8027757404725575,15,
922,7,6,16,2.0550365325772657,0.4972341982322125,9,
954,5,3,6,0.6500224216483541,0.768457341627495,14,
638,5,3,11,0.4394969869215134,0.877405415863317,16,
269,7,1,1,0.0,1.0,18,"(0.95, 1.0]"
259,4,5,13,2.5654483718208256,0.3261861779793349,5,
907,1,1,4,0.8112781244591328,0.6506015297177028,12,
316,8,3,7,2.5216406363433186,0.1594531212188937,2,
993,2,6,18,2.863826390090816,0.3258297414380188,5,
295,2,7,21,3.784941827437643,0.1512501701743244,2,
690,6,6,17,3.0130709291038453,0.2774280285468753,4,
940,3,3,9,2.2810361125534238,0.3133397089286585,5,
22,9,3,5,0.7219280948873623,0.7207200898713393,13,
904,3,2,5,2.321928094887362,0.1017555982960728,1,
513,5,4,12,1.207518749639422,0.6736823616610579,12,
843,5,4,9,0.5032583347756457,0.848504145664625,16,
826,7,3,8,0.5435644431995964,0.8285245099009361,15,
179,5,3,8,0.5435644431995964,0.8285245099009361,15,
354,4,4,11,2.663532754804255,0.2570263275366324,4,
464,6,3,10,1.8464393446710157,0.4662593315261583,8,"(0.45, 0.5]"
228,5,7,15,3.640223928941851,0.0899440177645372,1,
59,9,5,10,3.121928094887362,0.0975603974744502,1,
255,6,5,12,2.1258145836939115,0.4255237902478763,7,
470,7,2,2,1.0,0.3690702464285424,6,
640,4,2,2,1.0,0.3690702464285424,6,
845,6,4,9,2.725480556997868,0.1795485997446667,2,
967,5,7,18,3.086048612313038,0.2735166495787658,4,
249,8,5,14,2.1820058147602133,0.4414981015304436,8,
831,4,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
429,5,7,14,3.3248629576173574,0.1489746446049399,2,
899,6,4,9,2.725480556997868,0.1795485997446667,2,
456,4,5,11,2.1180782093497093,0.4091770251645216,7,
190,8,1,3,0.9182958340544896,0.5408520829727552,10,
968,6,1,2,1.0,0.3690702464285424,6,
658,6,4,10,2.1709505944546685,0.3724545434692459,6,
161,8,7,15,2.840223928941852,0.289944017764537,5,
631,5,2,6,1.9182958340544891,0.316689236910413,5,
10,5,1,1,0.0,1.0,18,
816,7,5,13,2.199687794731328,0.4222530234868271,7,
204,7,1,4,0.8112781244591328,0.6506015297177028,12,
797,3,3,9,1.4466166676282082,0.5645249908164376,10,
840,7,5,14,2.549523459597832,0.3474290110750516,6,
157,3,3,11,1.8676338909712125,0.4790367010546089,8,
124,4,7,16,2.7806390622295662,0.3197151459904209,5,
767,5,2,5,0.7219280948873623,0.7207200898713393,13,
