puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
354,6,3,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
355,8,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
357,10,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
358,7,3,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
362,3,4,12,1.4182958340544896,0.6167223513731586,11,"(0.6, 0.65]"
364,4,3,7,1.1488348542809166,0.6170550485730277,11,"(0.6, 0.65]"
376,4,5,10,3.1219280948873624,0.0975603974744501,1,"(0.05, 0.1]"
379,4,5,13,3.238901256602631,0.149304090921937,2,"(0.1, 0.15]"
380,4,3,10,1.8954618442383215,0.452088651203066,8,"(0.45, 0.5]"
381,6,4,9,0.9864267287308424,0.7030559661273194,13,"(0.7, 0.75]"
382,5,5,12,1.4182958340544896,0.6167223513731586,11,"(0.6, 0.65]"
386,4,3,4,2.0,0.1386468838532139,2,"(0.1, 0.15]"
387,7,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
389,5,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
390,7,4,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
391,8,4,10,1.8954618442383215,0.452088651203066,8,"(0.45, 0.5]"
397,4,7,19,3.7216117239699,0.1389001292334336,2,"(0.1, 0.15]"
404,9,6,14,2.120952031026404,0.4571253074221152,8,"(0.45, 0.5]"
405,7,3,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
408,8,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
409,8,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
414,9,5,15,1.0389205950315936,0.7402698512421015,13,"(0.7, 0.75]"
416,3,5,14,1.0892300788425848,0.7212028204560124,13,"(0.7, 0.75]"
418,4,7,18,3.8365916681089782,0.0968321243789672,1,"(0.05, 0.1]"
428,5,4,14,1.4345491399952024,0.6328156356342085,11,"(0.6, 0.65]"
429,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
432,7,7,16,3.5,0.1437231025862088,2,"(0.1, 0.15]"
439,5,5,16,1.5016144718101818,0.6326292054190654,11,"(0.6, 0.65]"
442,6,6,15,1.781937063546704,0.554515734113324,10,"(0.55, 0.6]"
451,3,3,5,1.3709505944546687,0.4696439139553477,8,"(0.45, 0.5]"
452,8,5,11,1.2776134368191154,0.6436187445302123,12,"(0.6, 0.65]"
454,8,7,17,2.116299605701696,0.4924849715595122,9,"(0.45, 0.5]"
456,5,6,15,1.4256051990169438,0.643598700245764,12,"(0.6, 0.65]"
461,10,7,18,2.1916116417513782,0.4840750848936339,8,"(0.45, 0.5]"
464,7,3,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
470,7,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
476,4,1,1,0.0,1.0,18,"(0.95, 1.0]"
480,6,5,16,0.9933927290103626,0.7569659303113108,14,"(0.75, 0.8]"
482,4,6,15,2.1055872616982603,0.4736031845754349,8,"(0.45, 0.5]"
484,9,6,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
485,6,7,17,0.3227569588973982,0.922598857584786,17,"(0.9, 0.95]"
491,6,5,13,3.3927474104487847,0.1088964701469842,1,"(0.1, 0.15]"
493,7,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
494,5,4,10,0.9219280948873624,0.7335030153738034,13,"(0.7, 0.75]"
496,4,6,14,2.09306920777189,0.4642621397884616,8,"(0.45, 0.5]"
503,5,6,14,1.4838317068446891,0.6202013671658562,11,"(0.6, 0.65]"
506,7,7,17,0.3227569588973982,0.922598857584786,17,"(0.9, 0.95]"
513,6,5,10,1.7709505944546688,0.4880804739964008,8,"(0.45, 0.5]"
515,9,5,15,0.3533593350214213,0.9116601662446446,17,"(0.9, 0.95]"
516,5,6,15,2.1492553971685,0.462686150707875,8,"(0.45, 0.5]"
524,6,3,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
526,4,6,12,1.9473387961875537,0.4737547576735569,8,"(0.45, 0.5]"
529,2,5,16,0.9933927290103626,0.7569659303113108,14,"(0.75, 0.8]"
536,8,6,17,1.809283079297365,0.5661113620337146,10,"(0.55, 0.6]"
540,2,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
543,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
546,7,4,10,0.9219280948873624,0.7335030153738034,13,"(0.7, 0.75]"
549,4,2,4,2.0,0.1386468838532139,2,"(0.1, 0.15]"
553,6,1,1,0.0,1.0,18,"(0.95, 1.0]"
554,6,6,14,1.0892300788425848,0.7212028204560124,13,"(0.7, 0.75]"
557,8,7,18,0.3095434291503252,0.927130717703939,17,"(0.9, 0.95]"
561,6,1,1,0.0,1.0,18,"(0.95, 1.0]"
564,7,3,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
565,6,5,17,0.3227569588973982,0.922598857584786,17,"(0.9, 0.95]"
568,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
572,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
573,4,5,13,2.075869296697727,0.4547738944243561,8,"(0.45, 0.5]"
575,4,1,1,0.0,1.0,18,"(0.95, 1.0]"
583,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
585,3,6,11,0.8658566174572235,0.7584754046149585,14,"(0.75, 0.8]"
587,1,5,14,3.521640636343319,0.0986078186315824,1,"(0.05, 0.1]"
589,4,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
592,7,5,13,1.5465935642949384,0.5937879194464185,11,"(0.55, 0.6]"
593,7,1,1,0.0,1.0,18,"(0.95, 1.0]"
596,9,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
601,6,1,1,0.0,1.0,18,"(0.95, 1.0]"
605,4,3,9,0.9864267287308424,0.7030559661273194,13,"(0.7, 0.75]"
612,4,5,15,2.1735572622751853,0.4566106844312037,8,"(0.45, 0.5]"
613,6,1,1,0.0,1.0,18,"(0.95, 1.0]"
614,3,6,13,3.238901256602631,0.149304090921937,2,"(0.1, 0.15]"
616,4,4,12,1.6140054628542204,0.5638341424826635,10,"(0.55, 0.6]"
618,8,3,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
621,6,2,6,1.2516291673878228,0.5541606949824278,10,"(0.55, 0.6]"
624,3,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
629,5,3,7,1.1488348542809166,0.6170550485730277,11,"(0.6, 0.65]"
630,3,4,9,0.9864267287308424,0.7030559661273194,13,"(0.7, 0.75]"
631,8,1,1,0.0,1.0,18,"(0.95, 1.0]"
635,8,5,13,0.7732283485249176,0.7969119337823534,15,"(0.75, 0.8]"
638,6,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
639,7,6,15,0.3533593350214213,0.9116601662446446,17,"(0.9, 0.95]"
647,4,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
649,7,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
652,7,7,16,3.875,0.051979149291874,0,"(0.05, 0.1]"
654,5,6,15,3.640223928941852,0.0899440177645369,1,"(0.05, 0.1]"
657,6,4,9,2.94770277922009,0.112653045152671,1,"(0.1, 0.15]"
659,3,4,15,2.1492553971685,0.462686150707875,8,"(0.45, 0.5]"
660,4,1,1,0.0,1.0,18,"(0.95, 1.0]"
661,3,5,14,3.3787834934861767,0.1351732507472701,2,"(0.1, 0.15]"
668,6,4,10,3.121928094887362,0.0975603974744502,1,"(0.05, 0.1]"
673,2,4,9,0.9864267287308424,0.7030559661273194,13,"(0.7, 0.75]"
676,8,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
682,6,6,16,0.3372900666170139,0.9174818023510548,17,"(0.9, 0.95]"
686,6,6,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
687,7,6,16,3.5,0.1437231025862088,2,"(0.1, 0.15]"
699,7,6,17,3.572469458770136,0.143277287353016,2,"(0.1, 0.15]"
700,2,4,12,0.8166890883150209,0.7792994480328184,14,"(0.75, 0.8]"
701,5,3,6,1.2516291673878228,0.5541606949824278,10,"(0.55, 0.6]"
703,8,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
705,9,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
706,10,5,12,1.4182958340544896,0.6167223513731586,11,"(0.6, 0.65]"
710,8,6,16,1.6737949406953985,0.5905051603641267,10,"(0.55, 0.6]"
718,5,3,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
724,6,6,16,0.3372900666170139,0.9174818023510548,17,"(0.9, 0.95]"
738,3,1,1,0.0,1.0,18,"(0.95, 1.0]"
742,9,3,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
743,5,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
747,5,6,15,2.1492553971685,0.462686150707875,8,"(0.45, 0.5]"
