puzzle_id,n,t,d,markov_entropy,pattern_score,score_bin,class
0,5,3,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
1,3,1,1,0.0,1.0,18,"(0.95, 1.0]"
3,5,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
8,6,6,14,2.0930692077718898,0.4642621397884617,8,"(0.45, 0.5]"
9,6,4,10,1.3567796494470397,0.6078027262809467,11,"(0.6, 0.65]"
11,10,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
13,6,6,12,1.584962500721156,0.5716826589686054,10,"(0.55, 0.6]"
14,8,4,11,1.823067982273661,0.4914680469023231,9,"(0.45, 0.5]"
15,4,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
16,4,2,6,0.6500224216483541,0.768457341627495,14,"(0.75, 0.8]"
17,4,7,18,3.8365916681089782,0.0968321243789672,1,"(0.05, 0.1]"
18,1,1,1,0.0,1.0,18,"(0.95, 1.0]"
19,4,4,10,3.121928094887362,0.0975603974744502,1,"(0.05, 0.1]"
25,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
35,8,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
39,5,6,15,2.1735572622751853,0.4566106844312037,8,"(0.45, 0.5]"
40,6,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
56,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
71,6,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
79,5,5,10,1.3567796494470397,0.6078027262809467,11,"(0.6, 0.65]"
80,4,6,14,3.521640636343319,0.0986078186315824,1,"(0.05, 0.1]"
81,9,1,1,0.0,1.0,18,"(0.95, 1.0]"
85,3,3,6,2.584962500721156,0.0792177788383983,1,"(0.05, 0.1]"
89,4,4,11,1.823067982273661,0.4914680469023231,9,"(0.45, 0.5]"
90,7,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
91,9,1,1,0.0,1.0,18,"(0.95, 1.0]"
95,5,6,15,1.7382689280764647,0.5654327679808838,10,"(0.55, 0.6]"
96,5,3,7,1.1488348542809166,0.6170550485730277,11,"(0.6, 0.65]"
97,5,7,14,3.6644977792004623,0.0620423865158943,0,"(0.05, 0.1]"
98,5,1,1,0.0,1.0,18,"(0.95, 1.0]"
99,5,4,6,2.584962500721156,0.0792177788383983,1,"(0.05, 0.1]"
101,5,5,14,0.3712323266408756,0.9049801069274492,17,"(0.9, 0.95]"
105,5,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
110,5,3,9,0.9864267287308424,0.7030559661273194,13,"(0.7, 0.75]"
120,3,1,4,0.8112781244591328,0.6506015297177028,12,"(0.65, 0.7]"
132,6,3,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
140,6,4,9,1.4466166676282082,0.5645249908164376,10,"(0.55, 0.6]"
141,5,5,13,2.0758692966977272,0.454773894424356,8,"(0.45, 0.5]"
143,5,2,5,0.7219280948873623,0.7207200898713393,13,"(0.7, 0.75]"
144,7,5,12,1.9508257945180885,0.4728124376802221,8,"(0.45, 0.5]"
145,6,5,14,2.0670314951575843,0.4709267012797851,8,"(0.45, 0.5]"
