puzzle_id,n,t,d,markov_entropy,pattern_score
0,5,3,5,0.7219280948873623,0.7207200898713393
1,3,1,1,0.0,1.0
2,4,7,20,3.303701696057348,0.24784541323807818
3,5,5,14,0.37123232664087563,0.9049801069274492
4,8,4,9,0.5032583347756457,0.848504145664625
5,7,7,17,3.0286393118385755,0.27369453628278295
6,8,3,10,0.4689955935892812,0.8644298701952597
7,10,4,13,0.39124356362925566,0.8972400599264814
8,6,6,14,2.0930692077718898,0.46426213978846176
9,6,4,10,1.3567796494470397,0.6078027262809467
10,4,2,4,2.0,0.1386468838532139
11,10,2,5,0.7219280948873623,0.7207200898713393
12,6,3,4,2.0,0.1386468838532139
13,6,6,12,1.584962500721156,0.5716826589686054
14,8,4,11,1.823067982273661,0.49146804690232315
15,4,2,6,0.6500224216483541,0.768457341627495
16,4,2,6,0.6500224216483541,0.768457341627495
17,4,7,18,3.8365916681089787,0.09683212437896727
18,1,1,1,0.0,1.0
19,4,4,10,3.121928094887362,0.09756039747445022
20,10,7,14,2.610577243331642,0.33180180518337987
21,5,1,2,1.0,0.36907024642854247
22,6,4,8,2.1556390622295662,0.31997158883924604
23,2,4,7,2.5216406363433186,0.15945312121889377
24,5,7,19,3.1813663288914587,0.2639011434144716
25,5,1,1,0.0,1.0
26,4,4,10,2.721928094887362,0.2131863280016053
27,7,7,18,2.636056086195823,0.3794489011751281
28,2,4,14,2.556656707462823,0.34560319904104964
29,7,4,9,0.5032583347756457,0.848504145664625
30,4,3,8,2.75,0.13247158883924592
31,2,1,3,0.9182958340544896,0.5408520829727552
32,5,5,10,2.121928094887362,0.386625223792338
33,9,3,9,0.5032583347756457,0.848504145664625
34,7,5,13,0.39124356362925566,0.8972400599264814
35,8,1,4,0.8112781244591328,0.6506015297177028
36,3,3,10,2.9219280948873623,0.1553733627380277
37,6,7,16,1.936278124459133,0.5262885071594112
38,3,6,16,3.0306390622295662,0.25855251046086436
39,5,6,15,2.1735572622751853,0.4566106844312037
40,6,1,4,0.8112781244591328,0.6506015297177028
41,6,7,17,3.5280643115840493,0.15392619522803241
42,6,5,12,0.41381685030363374,0.8881708981030195
43,5,4,9,1.8910611120726526,0.43073388163244586
44,4,3,8,0.5435644431995964,0.8285245099009361
45,3,6,17,3.5724694587701364,0.14327728735301593
46,7,3,11,2.481714572986073,0.3077432267459289
47,2,2,7,0.5916727785823275,0.8027757404725575
48,5,4,11,1.6858157091530304,0.5297536002639054
49,2,2,4,2.0,0.1386468838532139
50,5,2,3,1.584962500721156,0.20751874963942196
