puzzle_id,n,t,d,markov_entropy,pattern_score
71,1,1,2,1.0,0.36907024642854247
72,4,1,4,0.8112781244591328,0.6506015297177028
73,4,4,4,2.0,0.1386468838532139
74,4,1,1,0.0,1.0
75,4,2,1,0.0,1.0
76,3,4,1,0.0,1.0
77,4,4,2,1.0,0.36907024642854247
78,3,3,3,0.9182958340544896,0.5408520829727552
79,2,2,1,0.0,1.0
80,1,3,1,0.0,1.0
81,4,2,4,0.8112781244591328,0.6506015297177028
82,1,4,1,0.0,1.0
83,1,2,3,0.9182958340544896,0.5408520829727552
84,1,4,2,1.0,0.36907024642854247
85,1,4,1,0.0,1.0
86,2,1,1,0.0,1.0
87,2,4,4,1.5,0.35398516288991033
88,2,1,3,0.9182958340544896,0.5408520829727552
89,4,4,1,0.0,1.0
90,3,3,4,2.0,0.1386468838532139
